date,season,home_team,away_team,home_goals,away_goals
2023-03-03,2022-2023,fc utrecht,fortuna sittard,1,2
2023-03-04,2022-2023,feyenoord rotterdam,fc groningen,1,0
2023-03-04,2022-2023,fc twente,sc heerenveen,3,3
2023-03-04,2022-2023,fc volendam,fc emmen,3,1
2023-03-05,2022-2023,sbv excelsior,sparta rotterdam,1,4
2023-03-05,2022-2023,rkc waalwijk,psv eindhoven,0,1
2023-03-05,2022-2023,afc ajax,nijmegen eendracht combinatie,1,0
2023-03-05,2022-2023,sc cambuur leeuwarden,go ahead eagles,4,1
2023-03-11,2022-2023,alkmaar zaanstreek,fc groningen,1,0
2023-03-11,2022-2023,sparta rotterdam,sbv vitesse,3,1
2023-03-11,2022-2023,fc emmen,sbv excelsior,2,0
2023-03-11,2022-2023,fortuna sittard,fc twente,0,3
2023-03-12,2022-2023,sc heerenveen,afc ajax,2,4
2023-03-12,2022-2023,nijmegen eendracht combinatie,fc utrecht,2,2
2023-03-12,2022-2023,feyenoord rotterdam,fc volendam,2,1
2023-03-12,2022-2023,psv eindhoven,sc cambuur leeuwarden,5,2
2023-03-17,2022-2023,fc volendam,fortuna sittard,2,1
2023-03-18,2022-2023,fc emmen,sparta rotterdam,0,2
2023-03-18,2022-2023,fc utrecht,go ahead eagles,1,2
2023-03-18,2022-2023,rkc waalwijk,nijmegen eendracht combinatie,1,3
2023-03-19,2022-2023,sbv vitesse,psv eindhoven,1,1
2023-03-19,2022-2023,fc twente,alkmaar zaanstreek,2,1
2023-03-19,2022-2023,afc ajax,feyenoord rotterdam,2,3
2023-03-19,2022-2023,sbv excelsior,sc cambuur leeuwarden,4,1
2023-03-19,2022-2023,fc groningen,sc heerenveen,0,2
2023-04-01,2022-2023,sc cambuur leeuwarden,fc emmen,1,2
2023-04-01,2022-2023,rkc waalwijk,sbv vitesse,1,0
2023-04-01,2022-2023,nijmegen eendracht combinatie,psv eindhoven,2,4
2023-04-01,2022-2023,sbv excelsior,fc twente,0,0
2023-04-01,2022-2023,alkmaar zaanstreek,sc heerenveen,1,1
2023-04-02,2022-2023,fortuna sittard,fc groningen,3,1
2023-04-02,2022-2023,sparta rotterdam,feyenoord rotterdam,1,3
2023-04-02,2022-2023,go ahead eagles,afc ajax,0,0
2023-04-02,2022-2023,fc utrecht,fc volendam,0,0
2023-04-07,2022-2023,fc groningen,fc utrecht,1,2
2023-04-08,2022-2023,sbv vitesse,go ahead eagles,2,0
2023-04-08,2022-2023,psv eindhoven,sbv excelsior,4,0
2023-04-08,2022-2023,alkmaar zaanstreek,sparta rotterdam,0,1
2023-04-08,2022-2023,sc heerenveen,fc volendam,2,1
2023-04-09,2022-2023,fc twente,sc cambuur leeuwarden,4,0
2023-04-09,2022-2023,fc emmen,nijmegen eendracht combinatie,0,0
2023-04-09,2022-2023,afc ajax,fortuna sittard,4,0
2023-04-09,2022-2023,feyenoord rotterdam,rkc waalwijk,5,1
2023-04-14,2022-2023,sbv excelsior,go ahead eagles,2,1
2023-04-15,2022-2023,rkc waalwijk,fc groningen,2,1
2023-04-15,2022-2023,sparta rotterdam,sc heerenveen,4,0
2023-04-16,2022-2023,nijmegen eendracht combinatie,sbv vitesse,1,4
2023-04-16,2022-2023,fc utrecht,fc twente,1,0
2023-04-16,2022-2023,fc volendam,psv eindhoven,2,3
2023-04-16,2022-2023,sc cambuur leeuwarden,feyenoord rotterdam,0,3
2023-04-16,2022-2023,afc ajax,fc emmen,3,1
2023-04-16,2022-2023,fortuna sittard,alkmaar zaanstreek,0,3
2023-04-19,2022-2023,go ahead eagles,rkc waalwijk,3,2
2023-04-21,2022-2023,fc volendam,sc cambuur leeuwarden,2,0
2023-04-22,2022-2023,sbv vitesse,sbv excelsior,0,0
2023-04-22,2022-2023,sc heerenveen,fc emmen,2,3
2023-04-23,2022-2023,feyenoord rotterdam,fc utrecht,3,1
2023-04-23,2022-2023,go ahead eagles,fortuna sittard,2,0
2023-04-23,2022-2023,alkmaar zaanstreek,rkc waalwijk,3,0
2023-04-23,2022-2023,fc twente,sparta rotterdam,3,3
2023-04-23,2022-2023,psv eindhoven,afc ajax,3,0
2023-04-25,2022-2023,fc groningen,nijmegen eendracht combinatie,0,1
2023-05-05,2022-2023,rkc waalwijk,fc volendam,4,1
2023-05-06,2022-2023,sparta rotterdam,psv eindhoven,0,1
2023-05-06,2022-2023,nijmegen eendracht combinatie,sc heerenveen,2,3
2023-05-06,2022-2023,sc cambuur leeuwarden,fc utrecht,0,3
2023-05-06,2022-2023,afc ajax,alkmaar zaanstreek,0,0
2023-05-07,2022-2023,sbv excelsior,feyenoord rotterdam,0,2
2023-05-07,2022-2023,fc emmen,fc twente,0,3
2023-05-07,2022-2023,fortuna sittard,sbv vitesse,2,0
2023-05-07,2022-2023,go ahead eagles,fc groningen,1,1
2023-05-12,2022-2023,fc twente,nijmegen eendracht combinatie,4,0
2023-05-13,2022-2023,fc utrecht,rkc waalwijk,2,0
2023-05-13,2022-2023,fc volendam,sparta rotterdam,2,1
2023-05-13,2022-2023,sc heerenveen,sbv excelsior,0,0
2023-05-14,2022-2023,alkmaar zaanstreek,fc emmen,5,1
2023-05-14,2022-2023,psv eindhoven,fortuna sittard,2,1
2023-05-14,2022-2023,sbv vitesse,sc cambuur leeuwarden,2,0
2023-05-14,2022-2023,feyenoord rotterdam,go ahead eagles,3,0
2023-05-16,2022-2023,fc groningen,afc ajax,2,3
2023-05-21,2022-2023,sbv excelsior,fortuna sittard,3,0
2023-05-21,2022-2023,sbv vitesse,fc groningen,6,0
2023-05-21,2022-2023,afc ajax,fc utrecht,3,1
2023-05-21,2022-2023,psv eindhoven,sc heerenveen,3,3
2023-05-21,2022-2023,go ahead eagles,fc volendam,3,0
2023-05-21,2022-2023,rkc waalwijk,fc twente,0,5
2023-05-21,2022-2023,sparta rotterdam,sc cambuur leeuwarden,4,1
2023-05-21,2022-2023,fc emmen,feyenoord rotterdam,1,3
2023-05-21,2022-2023,nijmegen eendracht combinatie,alkmaar zaanstreek,0,3
2023-05-28,2022-2023,feyenoord rotterdam,sbv vitesse,0,1
2023-05-28,2022-2023,fc twente,afc ajax,3,1
2023-05-28,2022-2023,sc heerenveen,go ahead eagles,2,0
2023-05-28,2022-2023,fc utrecht,fc emmen,3,2
2023-05-28,2022-2023,fc volendam,sbv excelsior,3,2
2023-05-28,2022-2023,fc groningen,sparta rotterdam,0,5
2023-05-28,2022-2023,alkmaar zaanstreek,psv eindhoven,1,2
2023-05-28,2022-2023,fortuna sittard,nijmegen eendracht combinatie,1,1
2023-05-28,2022-2023,sc cambuur leeuwarden,rkc waalwijk,4,0
2023-06-01,2022-2023,fc utrecht,sparta rotterdam,1,2
2023-06-01,2022-2023,sc heerenveen,fc twente,1,2
2023-06-04,2022-2023,sparta rotterdam,fc utrecht,0,1
2023-06-04,2022-2023,fc twente,sc heerenveen,4,0
2023-06-08,2022-2023,sparta rotterdam,fc twente,1,1
2023-06-11,2022-2023,fc twente,sparta rotterdam,1,0
2023-08-11,2023-2024,fc volendam,sbv vitesse,1,2
2023-08-12,2023-2024,psv eindhoven,fc utrecht,2,0
2023-08-12,2023-2024,sc heerenveen,rkc waalwijk,3,1
2023-08-12,2023-2024,afc ajax,heracles almelo,4,1
2023-08-12,2023-2024,pec zwolle,sparta rotterdam,1,2
2023-08-13,2023-2024,alkmaar zaanstreek,go ahead eagles,5,1
2023-08-13,2023-2024,nijmegen eendracht combinatie,sbv excelsior,3,4
2023-08-13,2023-2024,feyenoord rotterdam,fortuna sittard,0,0
2023-08-13,2023-2024,almere city fc,fc twente,1,4
2023-08-18,2023-2024,heracles almelo,nijmegen eendracht combinatie,2,1
2023-08-19,2023-2024,sbv excelsior,afc ajax,2,2
2023-08-19,2023-2024,sbv vitesse,psv eindhoven,1,3
2023-08-19,2023-2024,fortuna sittard,almere city fc,2,1
2023-08-19,2023-2024,go ahead eagles,fc volendam,4,1
2023-08-20,2023-2024,fc twente,pec zwolle,3,1
2023-08-20,2023-2024,sparta rotterdam,feyenoord rotterdam,2,2
2023-08-20,2023-2024,fc utrecht,sc heerenveen,0,2
2023-08-20,2023-2024,rkc waalwijk,alkmaar zaanstreek,1,3
2023-08-26,2023-2024,sbv excelsior,fortuna sittard,2,2
2023-08-26,2023-2024,nijmegen eendracht combinatie,rkc waalwijk,3,0
2023-08-27,2023-2024,pec zwolle,fc utrecht,1,0
2023-08-27,2023-2024,feyenoord rotterdam,almere city fc,6,1
2023-08-27,2023-2024,sc heerenveen,sparta rotterdam,1,3
2023-09-01,2023-2024,sparta rotterdam,nijmegen eendracht combinatie,1,1
2023-09-02,2023-2024,heracles almelo,sbv excelsior,3,1
2023-09-02,2023-2024,rkc waalwijk,psv eindhoven,0,4
2023-09-02,2023-2024,go ahead eagles,sc heerenveen,3,2
2023-09-02,2023-2024,almere city fc,pec zwolle,1,2
2023-09-03,2023-2024,fc volendam,fc twente,0,2
2023-09-03,2023-2024,sbv vitesse,alkmaar zaanstreek,0,2
2023-09-03,2023-2024,fc utrecht,feyenoord rotterdam,1,5
2023-09-03,2023-2024,fortuna sittard,afc ajax,0,0
2023-09-16,2023-2024,heracles almelo,fc utrecht,1,3
2023-09-16,2023-2024,psv eindhoven,nijmegen eendracht combinatie,4,0
2023-09-16,2023-2024,fortuna sittard,fc volendam,3,1
2023-09-16,2023-2024,sbv vitesse,rkc waalwijk,0,2
2023-09-16,2023-2024,feyenoord rotterdam,sc heerenveen,6,1
2023-09-17,2023-2024,pec zwolle,go ahead eagles,1,1
2023-09-17,2023-2024,fc twente,afc ajax,3,1
2023-09-17,2023-2024,sbv excelsior,almere city fc,0,0
2023-09-17,2023-2024,alkmaar zaanstreek,sparta rotterdam,2,0
2023-09-22,2023-2024,go ahead eagles,fortuna sittard,3,0
2023-09-23,2023-2024,almere city fc,psv eindhoven,0,4
2023-09-23,2023-2024,fc volendam,heracles almelo,2,2
2023-09-23,2023-2024,sc heerenveen,sbv excelsior,0,3
2023-09-23,2023-2024,nijmegen eendracht combinatie,fc utrecht,3,0
2023-09-24,2023-2024,sparta rotterdam,sbv vitesse,1,0
2023-09-24,2023-2024,pec zwolle,alkmaar zaanstreek,0,3
2023-09-24,2023-2024,rkc waalwijk,fc twente,1,0
2023-09-27,2023-2024,afc ajax,feyenoord rotterdam,0,4
2023-09-27,2023-2024,psv eindhoven,go ahead eagles,3,0
2023-09-27,2023-2024,fc twente,sbv vitesse,1,0
2023-09-28,2023-2024,alkmaar zaanstreek,heracles almelo,1,1
2023-09-30,2023-2024,psv eindhoven,fc volendam,3,1
2023-09-30,2023-2024,feyenoord rotterdam,go ahead eagles,3,1
2023-09-30,2023-2024,fc utrecht,almere city fc,0,2
2023-09-30,2023-2024,fc twente,sc heerenveen,1,0
2023-10-01,2023-2024,nijmegen eendracht combinatie,sbv vitesse,1,3
2023-10-01,2023-2024,heracles almelo,pec zwolle,2,1
2023-10-01,2023-2024,sbv excelsior,sparta rotterdam,2,1
2023-10-01,2023-2024,alkmaar zaanstreek,fortuna sittard,4,0
2023-10-06,2023-2024,fc volendam,fc utrecht,1,0
2023-10-07,2023-2024,sc heerenveen,nijmegen eendracht combinatie,1,1
2023-10-07,2023-2024,almere city fc,rkc waalwijk,1,0
2023-10-07,2023-2024,go ahead eagles,heracles almelo,4,0
2023-10-07,2023-2024,sbv vitesse,sbv excelsior,0,0
2023-10-08,2023-2024,sparta rotterdam,psv eindhoven,0,4
2023-10-08,2023-2024,fortuna sittard,fc twente,0,3
2023-10-08,2023-2024,pec zwolle,feyenoord rotterdam,0,2
2023-10-08,2023-2024,afc ajax,alkmaar zaanstreek,1,2
2023-10-21,2023-2024,alkmaar zaanstreek,sc heerenveen,3,0
2023-10-21,2023-2024,nijmegen eendracht combinatie,almere city fc,1,1
2023-10-21,2023-2024,feyenoord rotterdam,sbv vitesse,4,0
2023-10-21,2023-2024,psv eindhoven,fortuna sittard,3,1
2023-10-21,2023-2024,rkc waalwijk,fc volendam,2,1
2023-10-22,2023-2024,go ahead eagles,sparta rotterdam,0,0
2023-10-22,2023-2024,heracles almelo,fc twente,2,2
2023-10-22,2023-2024,fc utrecht,afc ajax,4,3
2023-10-22,2023-2024,sbv excelsior,pec zwolle,2,4
2023-10-27,2023-2024,sbv vitesse,pec zwolle,1,1
2023-10-28,2023-2024,fortuna sittard,fc utrecht,0,0
2023-10-28,2023-2024,sc heerenveen,heracles almelo,3,0
2023-10-28,2023-2024,almere city fc,go ahead eagles,0,0
2023-10-28,2023-2024,sparta rotterdam,rkc waalwijk,2,0
2023-10-29,2023-2024,fc volendam,sbv excelsior,3,1
2023-10-29,2023-2024,fc twente,feyenoord rotterdam,2,1
2023-10-29,2023-2024,psv eindhoven,afc ajax,5,2
2023-11-02,2023-2024,afc ajax,fc volendam,2,0
2023-11-04,2023-2024,go ahead eagles,sbv vitesse,5,1
2023-11-04,2023-2024,heracles almelo,psv eindhoven,0,6
2023-11-04,2023-2024,rkc waalwijk,feyenoord rotterdam,1,2
2023-11-04,2023-2024,sbv excelsior,alkmaar zaanstreek,1,1
2023-11-05,2023-2024,pec zwolle,fortuna sittard,2,0
2023-11-05,2023-2024,fc utrecht,fc twente,1,1
2023-11-05,2023-2024,nijmegen eendracht combinatie,fc volendam,3,3
2023-11-05,2023-2024,afc ajax,sc heerenveen,4,1
2023-11-05,2023-2024,sparta rotterdam,almere city fc,1,2
2023-11-10,2023-2024,fortuna sittard,heracles almelo,4,1
2023-11-11,2023-2024,rkc waalwijk,go ahead eagles,0,1
2023-11-11,2023-2024,fc twente,nijmegen eendracht combinatie,3,3
2023-11-11,2023-2024,sbv vitesse,sc heerenveen,1,3
2023-11-12,2023-2024,psv eindhoven,pec zwolle,4,0
2023-11-12,2023-2024,almere city fc,afc ajax,2,2
2023-11-12,2023-2024,fc volendam,sparta rotterdam,1,4
2023-11-12,2023-2024,feyenoord rotterdam,alkmaar zaanstreek,1,0
2023-11-12,2023-2024,fc utrecht,sbv excelsior,2,2
2023-11-25,2023-2024,sbv excelsior,feyenoord rotterdam,2,4
2023-11-25,2023-2024,sc heerenveen,fortuna sittard,3,0
2023-11-25,2023-2024,fc twente,psv eindhoven,0,3
2023-11-25,2023-2024,pec zwolle,rkc waalwijk,1,2
2023-11-25,2023-2024,afc ajax,sbv vitesse,5,0
2023-11-26,2023-2024,sparta rotterdam,fc utrecht,1,2
2023-11-26,2023-2024,alkmaar zaanstreek,fc volendam,3,0
2023-11-26,2023-2024,almere city fc,heracles almelo,0,5
2023-11-26,2023-2024,nijmegen eendracht combinatie,go ahead eagles,1,1
2023-12-01,2023-2024,sc heerenveen,almere city fc,3,0
2023-12-02,2023-2024,fc volendam,pec zwolle,0,5
2023-12-02,2023-2024,rkc waalwijk,sbv excelsior,2,2
2023-12-02,2023-2024,heracles almelo,sparta rotterdam,0,1
2023-12-02,2023-2024,fortuna sittard,sbv vitesse,3,1
2023-12-03,2023-2024,fc utrecht,alkmaar zaanstreek,1,1
2023-12-03,2023-2024,nijmegen eendracht combinatie,afc ajax,1,2
2023-12-03,2023-2024,go ahead eagles,fc twente,1,3
2023-12-03,2023-2024,feyenoord rotterdam,psv eindhoven,1,2
2023-12-06,2023-2024,alkmaar zaanstreek,nijmegen eendracht combinatie,1,2
2023-12-06,2023-2024,rkc waalwijk,afc ajax,2,3
2023-12-07,2023-2024,psv eindhoven,sc heerenveen,2,0
2023-12-07,2023-2024,feyenoord rotterdam,fc volendam,3,1
2023-12-08,2023-2024,fc twente,sbv excelsior,4,2
2023-12-09,2023-2024,pec zwolle,nijmegen eendracht combinatie,1,3
2023-12-09,2023-2024,alkmaar zaanstreek,almere city fc,4,1
2023-12-09,2023-2024,afc ajax,sparta rotterdam,2,1
2023-12-10,2023-2024,go ahead eagles,fc utrecht,0,2
2023-12-10,2023-2024,fortuna sittard,rkc waalwijk,1,0
2023-12-10,2023-2024,sbv vitesse,heracles almelo,2,0
2023-12-15,2023-2024,nijmegen eendracht combinatie,fortuna sittard,4,1
2023-12-16,2023-2024,fc utrecht,rkc waalwijk,1,1
2023-12-16,2023-2024,sbv excelsior,go ahead eagles,1,1
2023-12-16,2023-2024,sc heerenveen,fc volendam,1,2
2023-12-17,2023-2024,almere city fc,sbv vitesse,5,0
2023-12-17,2023-2024,afc ajax,pec zwolle,2,2
2023-12-17,2023-2024,sparta rotterdam,fc twente,2,2
2023-12-17,2023-2024,alkmaar zaanstreek,psv eindhoven,0,4
2023-12-17,2023-2024,heracles almelo,feyenoord rotterdam,0,4
2024-01-12,2023-2024,rkc waalwijk,heracles almelo,1,2
2024-01-13,2023-2024,fortuna sittard,sparta rotterdam,0,2
2024-01-13,2023-2024,fc twente,alkmaar zaanstreek,2,1
2024-01-13,2023-2024,psv eindhoven,sbv excelsior,3,1
2024-01-13,2023-2024,pec zwolle,sc heerenveen,2,2
2024-01-14,2023-2024,feyenoord rotterdam,nijmegen eendracht combinatie,2,2
2024-01-14,2023-2024,go ahead eagles,afc ajax,2,3
2024-01-14,2023-2024,sbv vitesse,fc utrecht,0,0
2024-01-14,2023-2024,fc volendam,almere city fc,0,1
2024-01-19,2023-2024,sbv excelsior,sc heerenveen,3,0
2024-01-20,2023-2024,nijmegen eendracht combinatie,fc twente,1,0
2024-01-20,2023-2024,heracles almelo,fc volendam,1,1
2024-01-20,2023-2024,alkmaar zaanstreek,pec zwolle,2,2
2024-01-21,2023-2024,fc utrecht,psv eindhoven,1,1
2024-01-21,2023-2024,sbv vitesse,feyenoord rotterdam,1,2
2024-01-21,2023-2024,afc ajax,rkc waalwijk,4,1
2024-01-21,2023-2024,sparta rotterdam,go ahead eagles,0,2
2024-01-24,2023-2024,almere city fc,fortuna sittard,0,0
2024-01-26,2023-2024,pec zwolle,sbv vitesse,1,0
2024-01-27,2023-2024,psv eindhoven,almere city fc,2,0
2024-01-27,2023-2024,rkc waalwijk,sparta rotterdam,1,1
2024-01-27,2023-2024,heracles almelo,afc ajax,2,4
2024-01-27,2023-2024,sbv excelsior,fc utrecht,1,1
2024-01-28,2023-2024,sc heerenveen,alkmaar zaanstreek,2,2
2024-01-28,2023-2024,go ahead eagles,nijmegen eendracht combinatie,2,2
2024-01-28,2023-2024,fc volendam,fortuna sittard,0,1
2024-01-28,2023-2024,feyenoord rotterdam,fc twente,0,0
2024-02-02,2023-2024,almere city fc,sbv excelsior,2,1
2024-02-03,2023-2024,fc twente,rkc waalwijk,3,0
2024-02-03,2023-2024,fortuna sittard,sc heerenveen,3,3
2024-02-03,2023-2024,afc ajax,psv eindhoven,1,1
2024-02-03,2023-2024,nijmegen eendracht combinatie,heracles almelo,3,1
2024-02-04,2023-2024,fc utrecht,fc volendam,4,2
2024-02-04,2023-2024,sparta rotterdam,pec zwolle,0,2
2024-02-04,2023-2024,sbv vitesse,go ahead eagles,0,2
2024-02-04,2023-2024,alkmaar zaanstreek,feyenoord rotterdam,0,1
2024-02-09,2023-2024,rkc waalwijk,nijmegen eendracht combinatie,2,0
2024-02-10,2023-2024,almere city fc,alkmaar zaanstreek,0,0
2024-02-10,2023-2024,sbv excelsior,fc twente,0,3
2024-02-10,2023-2024,heracles almelo,sbv vitesse,3,2
2024-02-11,2023-2024,feyenoord rotterdam,sparta rotterdam,2,0
2024-02-11,2023-2024,sc heerenveen,afc ajax,3,2
2024-02-11,2023-2024,fc utrecht,fortuna sittard,4,0
2024-02-11,2023-2024,go ahead eagles,pec zwolle,1,1
2024-02-11,2023-2024,fc volendam,psv eindhoven,1,5
2024-02-16,2023-2024,psv eindhoven,heracles almelo,2,0
2024-02-17,2023-2024,sc heerenveen,go ahead eagles,0,2
2024-02-17,2023-2024,pec zwolle,almere city fc,0,1
2024-02-17,2023-2024,sparta rotterdam,sbv excelsior,4,2
2024-02-17,2023-2024,fortuna sittard,alkmaar zaanstreek,1,2
2024-02-18,2023-2024,sbv vitesse,fc volendam,1,1
2024-02-18,2023-2024,fc twente,fc utrecht,0,1
2024-02-18,2023-2024,afc ajax,nijmegen eendracht combinatie,2,2
2024-02-18,2023-2024,feyenoord rotterdam,rkc waalwijk,1,0
2024-02-23,2023-2024,fc utrecht,heracles almelo,1,0
2024-02-24,2023-2024,rkc waalwijk,fortuna sittard,0,1
2024-02-24,2023-2024,pec zwolle,psv eindhoven,1,7
2024-02-24,2023-2024,nijmegen eendracht combinatie,sparta rotterdam,2,0
2024-02-25,2023-2024,fc volendam,sc heerenveen,0,4
2024-02-25,2023-2024,alkmaar zaanstreek,afc ajax,2,0
2024-02-25,2023-2024,almere city fc,feyenoord rotterdam,0,2
2024-02-25,2023-2024,sbv excelsior,sbv vitesse,1,2
2024-02-25,2023-2024,fc twente,go ahead eagles,3,0
2024-03-01,2023-2024,fc volendam,nijmegen eendracht combinatie,2,5
2024-03-02,2023-2024,sparta rotterdam,alkmaar zaanstreek,1,1
2024-03-02,2023-2024,go ahead eagles,rkc waalwijk,1,0
2024-03-02,2023-2024,sbv vitesse,fc twente,1,2
2024-03-03,2023-2024,afc ajax,fc utrecht,2,0
2024-03-03,2023-2024,psv eindhoven,feyenoord rotterdam,2,2
2024-03-03,2023-2024,sc heerenveen,pec zwolle,2,0
2024-03-03,2023-2024,fortuna sittard,sbv excelsior,5,2
2024-03-03,2023-2024,heracles almelo,almere city fc,2,2
2024-03-08,2023-2024,go ahead eagles,psv eindhoven,0,1
2024-03-09,2023-2024,rkc waalwijk,sbv vitesse,3,1
2024-03-09,2023-2024,fc twente,sparta rotterdam,2,1
2024-03-09,2023-2024,almere city fc,fc utrecht,1,1
2024-03-10,2023-2024,afc ajax,fortuna sittard,2,2
2024-03-10,2023-2024,alkmaar zaanstreek,sbv excelsior,4,0
2024-03-10,2023-2024,feyenoord rotterdam,heracles almelo,3,0
2024-03-10,2023-2024,nijmegen eendracht combinatie,sc heerenveen,2,0
2024-03-10,2023-2024,pec zwolle,fc volendam,1,1
2024-03-15,2023-2024,heracles almelo,go ahead eagles,2,0
2024-03-16,2023-2024,sbv excelsior,rkc waalwijk,1,1
2024-03-16,2023-2024,sbv vitesse,almere city fc,1,1
2024-03-16,2023-2024,fortuna sittard,pec zwolle,3,1
2024-03-17,2023-2024,psv eindhoven,fc twente,1,0
2024-03-17,2023-2024,fc volendam,alkmaar zaanstreek,0,4
2024-03-17,2023-2024,fc utrecht,nijmegen eendracht combinatie,1,0
2024-03-17,2023-2024,sc heerenveen,feyenoord rotterdam,2,3
2024-03-17,2023-2024,sparta rotterdam,afc ajax,2,2
2024-03-30,2023-2024,alkmaar zaanstreek,sbv vitesse,2,0
2024-03-30,2023-2024,go ahead eagles,sbv excelsior,3,0
2024-03-30,2023-2024,nijmegen eendracht combinatie,psv eindhoven,3,1
2024-03-30,2023-2024,sparta rotterdam,fortuna sittard,4,0
2024-03-30,2023-2024,rkc waalwijk,sc heerenveen,1,1
2024-03-31,2023-2024,almere city fc,fc volendam,1,1
2024-03-31,2023-2024,pec zwolle,afc ajax,1,3
2024-03-31,2023-2024,feyenoord rotterdam,fc utrecht,4,2
2024-03-31,2023-2024,fc twente,heracles almelo,1,0
2024-04-02,2023-2024,fortuna sittard,nijmegen eendracht combinatie,1,1
2024-04-02,2023-2024,sbv vitesse,sparta rotterdam,1,4
2024-04-02,2023-2024,sbv excelsior,psv eindhoven,0,2
2024-04-03,2023-2024,fc utrecht,pec zwolle,5,1
2024-04-03,2023-2024,sc heerenveen,fc twente,3,3
2024-04-03,2023-2024,heracles almelo,alkmaar zaanstreek,5,0
2024-04-04,2023-2024,fc volendam,feyenoord rotterdam,0,0
2024-04-04,2023-2024,rkc waalwijk,almere city fc,0,0
2024-04-04,2023-2024,afc ajax,go ahead eagles,1,1
2024-04-06,2023-2024,pec zwolle,sbv excelsior,2,1
2024-04-06,2023-2024,fc twente,fortuna sittard,2,0
2024-04-06,2023-2024,psv eindhoven,alkmaar zaanstreek,5,1
2024-04-06,2023-2024,sparta rotterdam,heracles almelo,1,2
2024-04-07,2023-2024,sc heerenveen,fc utrecht,2,3
2024-04-07,2023-2024,sbv vitesse,nijmegen eendracht combinatie,0,3
2024-04-07,2023-2024,feyenoord rotterdam,afc ajax,6,0
2024-04-07,2023-2024,go ahead eagles,almere city fc,1,1
2024-04-07,2023-2024,fc volendam,rkc waalwijk,3,2
2024-04-12,2023-2024,sbv excelsior,fc volendam,4,0
2024-04-13,2023-2024,almere city fc,sparta rotterdam,2,3
2024-04-13,2023-2024,alkmaar zaanstreek,rkc waalwijk,3,2
2024-04-13,2023-2024,psv eindhoven,sbv vitesse,6,0
2024-04-14,2023-2024,heracles almelo,sc heerenveen,0,2
2024-04-14,2023-2024,fc utrecht,go ahead eagles,2,1
2024-04-14,2023-2024,fortuna sittard,feyenoord rotterdam,0,1
2024-04-14,2023-2024,afc ajax,fc twente,2,1
2024-04-14,2023-2024,nijmegen eendracht combinatie,pec zwolle,2,2
2024-04-24,2023-2024,fc twente,almere city fc,3,1
2024-04-24,2023-2024,afc ajax,sbv excelsior,2,2
2024-04-25,2023-2024,go ahead eagles,feyenoord rotterdam,1,3
2024-04-25,2023-2024,sc heerenveen,psv eindhoven,0,8
2024-04-28,2023-2024,sbv vitesse,fortuna sittard,3,2
2024-04-28,2023-2024,rkc waalwijk,fc utrecht,2,2
2024-04-28,2023-2024,pec zwolle,heracles almelo,3,1
2024-04-28,2023-2024,nijmegen eendracht combinatie,alkmaar zaanstreek,0,3
2024-04-28,2023-2024,sparta rotterdam,fc volendam,1,0
2024-05-03,2023-2024,almere city fc,sc heerenveen,1,1
2024-05-03,2023-2024,fortuna sittard,go ahead eagles,0,0
2024-05-05,2023-2024,psv eindhoven,sparta rotterdam,4,2
2024-05-05,2023-2024,heracles almelo,rkc waalwijk,0,5
2024-05-05,2023-2024,fc volendam,afc ajax,1,4
2024-05-05,2023-2024,fc utrecht,sbv vitesse,1,0
2024-05-05,2023-2024,alkmaar zaanstreek,fc twente,2,1
2024-05-05,2023-2024,feyenoord rotterdam,pec zwolle,5,0
2024-05-06,2023-2024,sbv excelsior,nijmegen eendracht combinatie,0,3
2024-05-12,2023-2024,fc utrecht,sparta rotterdam,0,1
2024-05-12,2023-2024,sbv excelsior,heracles almelo,4,0
2024-05-12,2023-2024,fortuna sittard,psv eindhoven,1,1
2024-05-12,2023-2024,rkc waalwijk,pec zwolle,1,1
2024-05-12,2023-2024,sc heerenveen,sbv vitesse,1,3
2024-05-12,2023-2024,fc twente,fc volendam,7,2
2024-05-12,2023-2024,afc ajax,almere city fc,3,0
2024-05-12,2023-2024,nijmegen eendracht combinatie,feyenoord rotterdam,2,3
2024-05-12,2023-2024,go ahead eagles,alkmaar zaanstreek,0,3
2024-05-19,2023-2024,pec zwolle,fc twente,1,2
2024-05-19,2023-2024,feyenoord rotterdam,sbv excelsior,4,0
2024-05-19,2023-2024,psv eindhoven,rkc waalwijk,3,1
2024-05-19,2023-2024,almere city fc,nijmegen eendracht combinatie,1,4
2024-05-19,2023-2024,sbv vitesse,afc ajax,2,2
2024-05-19,2023-2024,alkmaar zaanstreek,fc utrecht,3,3
2024-05-19,2023-2024,sparta rotterdam,sc heerenveen,2,1
2024-05-19,2023-2024,fc volendam,go ahead eagles,1,2
2024-05-19,2023-2024,heracles almelo,fortuna sittard,0,0
2024-05-23,2023-2024,fc utrecht,sparta rotterdam,3,1
2024-05-23,2023-2024,nijmegen eendracht combinatie,go ahead eagles,1,2
2024-05-26,2023-2024,fc utrecht,go ahead eagles,1,2
2024-08-09,2024-2025,fc groningen,nac breda,4,1
2024-08-10,2024-2025,psv eindhoven,rkc waalwijk,5,1
2024-08-10,2024-2025,almere city fc,alkmaar zaanstreek,0,1
2024-08-10,2024-2025,feyenoord rotterdam,willem ii,1,1
2024-08-10,2024-2025,nijmegen eendracht combinatie,fc twente,1,2
